"title","price","savings","rating","reviews-count","score","url","is-sponsored","is-amazon-choice","is-discounted","before-discount","amazon-id","thumbnail","high-res-image","short-description","full-description"
"Relifa Portable Steam Sauna Bath Panchkarma Swedan Machine for Health and Beauty Spa at Home(MultiColor)","",NaN,0,0,0,"https://amazon.in/Relifa-Portable-Panchkarma-Machine-MultiColor/dp/B0BPD49KQM/ref=sr_1_225?keywords=at&qid=1677582387&sr=8-225",false,false,true,"5,999","B0BPD49KQM","https://m.media-amazon.com/images/I/51VqgcNMiRL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51VqgcNMiRL.jpg"," About this item  Personal Steam Sauna - 1 Minute Set Up Steps, You Can Have a Mobile Beauty Personal Spa. The Portable Sauna Tent Comes With Everything You Need To Get Your Sauna And Enjoy Nourishing Warmth In Any Location. While Using, Highly Recommend You To Add Essential Oils For An Even More Enjoyable Experience Health & Relaxation - The Health Benefits Of Using Home Spa Sauna Tent Include Weight Lose,Improve Skin Ton,Relieves Stiffness And Joint Pain,Increase Bloods Circulation,Promotes More Restful Sleep,Reduces Stress,And Increase Overall Energy Level. Use This Steam Sauna To Relax While Reading Books, Listening To Music, Play On Your Mobile Phone, Watch Movies And So On Handheld Control - With 6 automatic timer options, you can easily decide the length of time that is right for you. The newest 2L capacity steam pot, with timing and power adjustment, anti-dry, anti-leakage, anti-explosion, automatic power cut protection, anti-leakage protection. Portable & Convenient - It Is Completely Portable. Detachable Frame Conveniently Folds For Storage Or Travelling So You Can Enjoy a Spa Experience No Matter Where You Are. The PVC Stent To Increase Stability, Zipper Both Inside And Outside Available Bring You Convenience.Our Portable Sauna Comes With 2L Steam Pot,And Remote Control Rapid Heating - Only 7-10 Minutes Can Be Heated, The Sauna Tent Made By Satin And Polyester, The Insulation Waterproof Fabric Can Prevent Heat Loss.Heating Element Power Output：800Watt.Reaches Maximum Temperature Of 65° "," Why You Need Steamed Sauna- Detoxification, Relaxation, Relieve Pain, Weight Loss, Improved Circulation, Skin Purification, Strengthen Cardiovascular,Reduce Stress&Fatigue.Specification- Material: Waterproof Cloth, Plastic, Steam Pot Capacity: 2L, Voltage: 110V/ 60Hz, Power: 800W, Temperature: 1-9 level, Timer: every 10 minutes up to 60 minutes, Function: Sauna Therapy, Body SPA, Maximum Steam Temperature: 65°, Steam Pot Size: 7.9 x 7.5 x 8.3inch, Tent Size: 31.5 x 31.5 x 40.6inch."
"Brain Tree - Magic Mask 1000 Piece Puzzles for for Adults And Kids 12+ Unique Puzzles for Adults And Kids 1000 Pieces with...","",NaN,5,1,"5.00","https://amazon.in/Brain-Tree-Puzzles-Sorting-Technology/dp/B09Q1SMBBM/ref=sr_1_226?keywords=at&qid=1677582387&sr=8-226",false,false,true,"1,400","B09Q1SMBBM","https://m.media-amazon.com/images/I/91ZIgQsLsRL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/91ZIgQsLsRL.jpg",,
"Techno AT 8016 STAPLER (21 GAUGE)","",NaN,0,0,0,"https://amazon.in/Techno-AT-8016-STAPLER-GAUGE/dp/B08GY3YJ51/ref=sr_1_227?keywords=at&qid=1677582387&sr=8-227",false,false,true,"2,999","B08GY3YJ51","https://m.media-amazon.com/images/I/41+wz2PVPfL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41+wz2PVPfL.jpg",,
"Wellness Urine Test Kits | Instant At-Home | Track 10+ Parameters | Sugar (Glucose), Leukocytes (WBC), Nitrites, Protein,...","",747,3.7,5,"18.50","https://amazon.in/Wellness-Instant-Parameters-Leukocytes-Nitrites/dp/B0BDVXJL7J/ref=sr_1_228?keywords=at&qid=1677582387&sr=8-228",false,false,true,"747","B0BDVXJL7J","https://m.media-amazon.com/images/I/61gazrrEd4L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61gazrrEd4L.jpg"," About this item  1. Detect Health Parameters: The NeoDocs Wellness Kit helps in detection of upto 10 Health Parameters 2. Urine Tests Made Smart -With Neodocs’ urine test strips, simply take the test and scan the test card using the Neodocs app on your phone to get accurate results in 30 seconds to know exactly which parameter is affecting your health 3. Instant Results in 30 Seconds: Get accurate results on your smartphone in 30 seconds 4. Easy & Effective - These Wellness Test Strips enable you to determine the cause of irritation and help you conduct a urine test at home 5. Share your Report - Once you get your results on our app, we help you share your insights with your doctor easily by converting it into a Medical Report so that the doctor can guide you properly on the next steps. NOTE- This is a One-Time-Use Testcard ",""
"Schiller India Cardiovit Chart Thick Paper for All AT-2 Series ECG Machine (210 x 280 mm) - Pack of 200 Sheets","",750,4.5,20,"90.00","https://amazon.in/Schiller-Cardiovit-Chart-Machine-sheets/dp/B019TTG9IO/ref=sr_1_229?keywords=at&qid=1677582387&sr=8-229",false,false,true,"750","B019TTG9IO","https://m.media-amazon.com/images/I/41LJxeC0euL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41LJxeC0euL.jpg",,
"The Mom Store Maternity and Nursing Top | Cotton | Three Fourth Sleeves | Pre and Post Pregnancy | Soft | Comfortable | Ea...","",999,0,0,0,"https://amazon.in/Mom-Store-Maternity-Pregnancy-Comfortable/dp/B0BVWBWY9Q/ref=sr_1_230?keywords=at&qid=1677582387&sr=8-230",false,false,true,"999","B0BVWBWY9Q","https://m.media-amazon.com/images/I/51zq9Q9KDDL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51zq9Q9KDDL.jpg",,
"KRINSAL AT-539 Trimmer For Men And Women","",999,0,0,0,"https://amazon.in/KRINSAL-AT-539-Trimmer-Men-Women/dp/B0BVW9MBFZ/ref=sr_1_231?keywords=at&qid=1677582387&sr=8-231",false,false,true,"999","B0BVW9MBFZ","https://m.media-amazon.com/images/I/81KBUrsvB4L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/81KBUrsvB4L.jpg",,
"IP International Face, Nose Cough Steamer 4 in 1 Plastic Steam Vaporizer- Facial Steamer Face Vapor Steamer, Vanity Planet...","",NaN,0,0,0,"https://amazon.in/International-Steamer-Vaporizer-Professional-moisturizing/dp/B0BQVQSDPM/ref=sr_1_232?keywords=at&qid=1677582387&sr=8-232",false,false,true,"1,499","B0BQVQSDPM","https://m.media-amazon.com/images/I/71ZiqOKG33L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/71ZiqOKG33L.jpg",,
"Goodyear Wrangler AT SilentTrac 215/75 R15 100S Tubeless Car Tyre","",NaN,3.7,15,"55.50","https://amazon.in/Goodyear-Wrangler-AT-SilentTrac-Tubeless/dp/B07YHZZFM9/ref=sr_1_233?keywords=at&qid=1677582387&sr=8-233",false,false,true,"7,000","B07YHZZFM9","https://m.media-amazon.com/images/I/61N89oyY1iL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61N89oyY1iL.jpg","",""
"GLEnterprise Facial Steamer, Hot Mist, Ozone Humidifier, Can Use at Home and Beauty Salon, Extract Blackheads, Rejuvenate ...","",NaN,2.7,10,"27.00","https://amazon.in/GLEnterprise-Steamer-Digital-Function-Adjustable/dp/B09H6XSL1Y/ref=sr_1_234?keywords=at&qid=1677582387&sr=8-234",false,false,true,"12,999","B09H6XSL1Y","https://m.media-amazon.com/images/I/51ExamVy5yL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51ExamVy5yL.jpg","",""
